번호,유적명,X,Y,시기
1,조랑진 보루,126.736406,37.876378,
2,덕진산성,126.771667,37.914709,
3,동파리 보루,126.778875,37.918321,
4,두루봉 보루,126.828056,37.959722,
5,호로고루,126.859722,37.985278,
6,아미리 보루,126.961389,38.014722,
7,광동리 보루,126.9525,38.043611,
8,당포성,126.984722,38.023889,
9,우정리 보루,127.009722,38.054444,
10,무등리 1보루,127.009722,38.062222,
11,무등리 2보루,127.009722,38.065278,
12,고성산 보루,127,38.076944,
13,강서리 보루,126.959722,38.099722,
14,은대리성,127.0575,38.023889,
15,전곡리 목책,127.061111,38.013056,
16,아미성,127.004624,37.971228,
17,태봉산 보루,127.008549,37.891708,
18,소래산 보루,127.045556,37.875556,
19,도락산 1보루,127.005,37.818056,
20,도락산 2보루,127.017778,37.829167,
21,도락산 3보루,127.018611,37.828611,
22,도락산 4보루,127.019722,37.8275,
23,불곡산 1보루,127.062778,37.763056,
24,불곡산 2보루,127.034722,37.793611,
25,불곡산 3보루,127.027778,37.791667,
26,불곡산 4보루,127.026389,37.792222,
27,불곡산 5보루,127.026667,37.797778,
28,불곡산 6보루,127.026111,37.799444,
29,불곡산 7보루,127.024167,37.800278,
30,불곡산 8보루,127.026389,37.792222,
31,불곡산 9보루,127.026389,37.792222,
32,고장산 1보루,127.064167,37.816389,
33,고장산 2보루,127.065833,37.813611,
34,독바위 보루,127.075833,37.824722,
35,큰테미산 보루,127.057222,37.799722,
36,작은테미산 보루,127.058333,37.785278,
37,천보산 1보루,127.062778,37.596389,
38,천보산 2보루,127.065833,37.763611,
39,천보산 3보루,127.103889,37.779444,
40,천보산 4보루,127.1175,37.833889,
41,천보산 5보루,127.110278,37.855278,
42,천보산 6보루,127.079722,37.769722,
43,사패산 1보루,127.025833,37.724444,
44,사패산 2보루,127.039722,37.723889,
45,사패산 3보루,127.031944,37.718333,
46,수락산 1보루,127.065556,37.671389,
47,수락산 2보루,127.071111,37.674444,
48,수락산 3보루,127.081111,37.697222,
49,봉화산 보루,127.087222,37.608333,
50,배봉산 보루,127.063611,37.580833,
51,망우산 1보루,127.063611,37.580833,
52,망우산 2보루,127.111944,37.591667,
53,망우산 3보루,127.112778,37.593056,
54,시루봉 보루,127.116944,37.580833,
55,용마산 1보루,127.094021,37.563284,
56,용마산 2보루,127.09195,37.565549,
57,용마산 3보루,127.095556,37.737778,
58,용마산 4보루,127.099167,37.572222,
59,용마산 5보루,127.101111,37.575833,
60,용마산 6보루,127.092222,37.570278,
61,용마산 7보루,127.092778,37.573611,
62,용마산 8보루,127.100833,37.573333,
63,아차산 1보루,127.101389,37.560833,
64,아차산 2보루,127.103611,37.564444,
65,아차산 3보루,127.103056,37.565833,
66,아차산 4보루,127.104167,37.570833,
67,아차산 5보루,127.102222,37.561944,
68,아차산 6보루,127.102222,37.564167,
69,홍련봉 1보루,127.098889,37.550833,
70,홍련봉 2보루,127.098056,37.551944,
71,정립회관 보루,127.0975,37.715833,
72,구의동 보루,127.091111,37.531389,
73,자양동 보루,127.083056,37.528056,
74,몽촌토성 고구려 유구,127.121389,37.520833,
75,남성골산성,127.375,36.529722,
76,월평동산성,127.356944,36.350278,
77,도기동산성,127.258611,36.998889,
78,장미산성,127.856944,37.046389,
79,대모산성,127.461667,36.867222,
80,정북동토성,127.488611,36.688333,
81,부모산성,127.410833,36.634722,
82,나성,127.270278,36.481389,