X,Y,Region,material,Site,Feature Number,Excavation istitute,BP,Error,Type,Combine,시대,Name
127.364665E,37.795516N,경기,Charcoal,가평 항사리,나-15,Korea Institute of Heritage,1864,39 ,중도,,원삼국-백제 한성기,가평 항사리 나-15
127.997735E,37.812135N,강원,Charcoal,홍천 철정리,A-4 ,Gangwon Cultural Property Research Institute,1865,36,중도,,원삼국-백제 한성기,홍천 철정리 A-4 
127.378916E,37.680931N,경기,Charred material,가평 대성리,6 ,Gyounggi Cultural Property Research Institute,1865,20,중도,,원삼국-백제 한성기,가평 대성리 6 
127.013889E,38.005556N,경기,Charcoal,연천 남계리,3-1,Museun of Seoul National University,1866,6,중도,Yes,원삼국-백제 한성기,연천 남계리 3-1
127.962071E,37.537727N,강원,Charcoal,횡성 학담리,2,Museum of Hanrim University,1870,50,중도,,원삼국-백제 한성기,횡성 학담리 2
127.018379E,38.109908N,경기,Charcoal,연천 강내리,11 ,Korea Institute of Heritage,1870,40,중도,,원삼국-백제 한성기,연천 강내리 11 
127.378916E,37.680931N,경기,Charcoal,가평 대성리,14 ,Gyounggi Cultural Property Research Institute,1871,16,중도,,원삼국-백제 한성기,가평 대성리 14 
127.378916E,37.680931N,경기,"Charcoal, Charred material",가평 대성리,3 ,Gyounggi Cultural Property Research Institute,1875,15,중도,,원삼국-백제 한성기,가평 대성리 3 
127.743126E,37.913389N,강원,Charcoal,춘천 우두동,Udu park-3,Gangwon Cultural Property Research Institute,1879,39,중도,,원삼국-백제 한성기,춘천 우두동 Udu park-3
128.507406E,37.210748N,강원,Charcoal,영월 삼옥리,3,Yemaek Cultural Property Research Institute,1880,20,중도,,원삼국-백제 한성기,영월 삼옥리 3
127.751408E,37.931132N,강원,Charcoal,춘천 율문리∙천전리,Yulmun∙Cheonjeon-31,Yemaek Cultural Property Research Institute,1880,40,중도,,원삼국-백제 한성기,춘천 율문리∙천전리 Yulmun∙Cheonjeon-31
127.96171E,37.762661N,강원,Charcoal,홍천 성산리,44,Gangwon Cultural Property Research Institute,1880,40,중도,,원삼국-백제 한성기,홍천 성산리 44
126.635093E,37.645535N,경기,Charcoal,김포 양촌,2-4(나)-8 ,Korea Institute of Heritage,1880,60,마한,,원삼국-백제 한성기,김포 양촌 2-4(나)-8 
127.115987E,37.53396N,경기,Charcoal,서울 풍납토성,라-1 ,National Research Institute of Cultural Heritage,1880,50,중도,,원삼국-백제 한성기,서울 풍납토성 라-1 
127.266563E,38.109058N,경기,Charcoal,포천 사정리 모래내,22,Central Institute of Cultural Heritage,1880,40 ,중도,,원삼국-백제 한성기,포천 사정리 모래내 22
127.011691E,38.086696N,경기,Charcoal,연천 삼거리,4,Baekdu Institute of Cultural Heritage,1880,40,중도,No,원삼국-백제 한성기,연천 삼거리 4
127.135791E,37.578845N,경기,Charcoal,구리 토평동,F-10,Seoul Institute of Cultural Heritage,1880,30,중도,No,원삼국-백제 한성기,구리 토평동 F-10
N/A,N/A,강원,N/A,춘천 천전리(한·문277),4,,1880,40,,,청동기,춘천 천전리(한·문277) 4
127.378916E,37.680931N,경기,Charcoal,가평 대성리,1  ,Gyerye Cultural Heritage Research Institute,1881,8,중도,,원삼국-백제 한성기,가평 대성리 1  
128.507406E,37.210748N,강원,Charcoal,영월 삼옥리,4,Yemaek Cultural Property Research Institute,1885,25,중도,,원삼국-백제 한성기,영월 삼옥리 4
128.27063E,37.268031N,강원,Charcoal,영월 주천리,Proto-three Kingdoms 4,Yemaek Cultural Property Research Institute,1886,29,중도,,원삼국-백제 한성기,영월 주천리 Proto-three Kingdoms 4
127.743126E,37.913389N,강원,Charcoal,춘천 우두동,Udu Ⅱ-1,Gangwon Cultural Property Research Institute,1890,40,중도,,원삼국-백제 한성기,춘천 우두동 Udu Ⅱ-1
127.378916E,37.680931N,경기,Charcoal,가평 대성리,18 ,Gyounggi Cultural Property Research Institute,1890,25,중도,,원삼국-백제 한성기,가평 대성리 18 
126.88443E,37.430142N,경기,Charcoal,광명 소하동,2 ,Korea Archaeo-environment Research Institute,1890,50,마한,,원삼국-백제 한성기,광명 소하동 2 
126.903069E,37.129636N,경기,Charcoal,화성 발안리,24 ,Gijeon Cultural Property Research Institute,1890,50,마한,,원삼국-백제 한성기,화성 발안리 24 
127.902813E,37.129878N,경기,Charcoal,화성 발안리,24,Gijeon Cultural Property Research Institute,1890,50,중도,No,원삼국-백제 한성기,화성 발안리 24
N/A,N/A,경기,N/A,인천 중산동(중앙),3-12,,1890,50,,,청동기,인천 중산동(중앙) 3-12
127.243675E,37.39228N,경기,Charcoal,광주 장지동,15 ,Gyounggi Cultural Property Research Institute,1892,19,중도,,원삼국-백제 한성기,광주 장지동 15 
128.507406E,37.210748N,강원,Charcoal,영월 삼옥리,1,Yemaek Cultural Property Research Institute,1895,20,중도,,원삼국-백제 한성기,영월 삼옥리 1
127.378916E,37.680931N,경기,Charred seed,가평 대성리,10,Gyerye Cultural Heritage Research Institute,1899,9,중도,,원삼국-백제 한성기,가평 대성리 10
126.976671E,37.230165N,경기,Charcoal,화성 고금산,2 ,Museun of Seoul National University,1899,84,마한,,원삼국-백제 한성기,화성 고금산 2 
127.743126E,37.913389N,강원,Charcoal,춘천 우두동,Udu Ⅲ-4,Gangwon Cultural Property Research Institute,1900,40,중도,,원삼국-백제 한성기,춘천 우두동 Udu Ⅲ-4
127.751408E,37.931132N,강원,Charcoal,춘천 율문리∙천전리,Yulmun∙Cheonjeon-22,Yemaek Cultural Property Research Institute,1900,40,중도,,원삼국-백제 한성기,춘천 율문리∙천전리 Yulmun∙Cheonjeon-22
127.018379E,38.109908N,경기,Charcoal,연천 강내리,22 ,Korea Institute of Heritage,1900,90,중도,,원삼국-백제 한성기,연천 강내리 22 
127.018379E,38.109908N,경기,Charcoal,연천 강내리,68 ,Korea Institute of Heritage,1900,40,중도,,원삼국-백제 한성기,연천 강내리 68 
127.115987E,37.53396N,경기,Charcoal,서울 풍납토성,가-2  ,National Research Institute of Cultural Heritage,1900,60,중도,,원삼국-백제 한성기,서울 풍납토성 가-2  
127.115987E,37.53396N,경기,Charcoal,서울 풍납토성,라-2 ,National Research Institute of Cultural Heritage,1900,50,중도,,원삼국-백제 한성기,서울 풍납토성 라-2 
127.011691E,38.086696N,경기,Charcoal,연천 삼거리,3,Baekdu Institute of Cultural Heritage,1900,40,중도,No,원삼국-백제 한성기,연천 삼거리 3
128.631196E,37.315825N,강원,Charcoal,정선 가수리,4,Gangwon Institute of Cultural Heritage,1900,30,중도,No,원삼국-백제 한성기,정선 가수리 4
127.243675E,37.39228N,경기,Charcoal,광주 장지동,13 ,Gyounggi Cultural Property Research Institute,1905,25,중도,,원삼국-백제 한성기,광주 장지동 13 
127.194032E,37.72955N,경기,Charcoal,남양주 장현,16,Central Institute of Cultural Heritage,1910,50,마한,,원삼국-백제 한성기,남양주 장현 16
127.826223E,37.338016N,강원,Charcoal,원주 동화리,1,Hangang Cultural Property Research Institute,1915,36,중도,,원삼국-백제 한성기,원주 동화리 1
127.751408E,37.931132N,강원,Charcoal,춘천 율문리∙천전리,Cheonjeon 121-16: 3 ,Museum of Hanrim University,1915,39,중도,,원삼국-백제 한성기,춘천 율문리∙천전리 Cheonjeon 121-16: 3 
127.378916E,37.680931N,경기,Charcoal,가평 대성리,4  ,Gyerye Cultural Heritage Research Institute,1917,9,중도,,원삼국-백제 한성기,가평 대성리 4  
127.537310E,37.421297N,경기,Charcoal,양평 상자포리,2-1,Hanyang Institute of Cultural Heritage,1919,26,중도,No,원삼국-백제 한성기,양평 상자포리 2-1
128.27063E,37.268031N,강원,Charcoal,영월 주천리,Proto-three Kingdoms 2,Yemaek Cultural Property Research Institute,1920,40,중도,,원삼국-백제 한성기,영월 주천리 Proto-three Kingdoms 2
128.27063E,37.268031N,강원,Charcoal,영월 주천리,Proto-three Kingdoms 3,Yemaek Cultural Property Research Institute,1920,40,중도,,원삼국-백제 한성기,영월 주천리 Proto-three Kingdoms 3
127.018379E,38.109908N,경기,Charcoal,연천 강내리,24 ,Korea Institute of Heritage,1920,40,중도,,원삼국-백제 한성기,연천 강내리 24 
127.532306E,37.430364N,경기,Charcoal,양평 하자포리,원-주,Korea Cultural Heritage Foundation,1920,16,중도,No,원삼국-백제 한성기,양평 하자포리 원-주
127.826223E,37.338016N,강원,Charcoal,원주 동화리,3,Hangang Cultural Property Research Institute,1920,36,중도,,원삼국-백제 한성기,원주 동화리 3
127.378916E,37.680931N,경기,Charcoal,가평 대성리,7  ,Gyerye Cultural Heritage Research Institute,1925,25,중도,,원삼국-백제 한성기,가평 대성리 7  
127.96171E,37.762661N,강원,Charcoal,홍천 성산리,19 ,Gangwon Cultural Property Research Institute,1930,50,중도,,원삼국-백제 한성기,홍천 성산리 19 
127.687879E,38.074793N,강원,Charcoal,화천 거례리,1-3-12,Gangwon Archaeological Culture Research Institute,1930,40,중도,,원삼국-백제 한성기,화천 거례리 1-3-12
127.378916E,37.680931N,경기,Charred material,가평 대성리,19 ,Gyounggi Cultural Property Research Institute,1930,20,중도,,원삼국-백제 한성기,가평 대성리 19 
127.320794E,37.54989N,경기,Charcoal,양평 양수리 상석정,A-9,Museum of Sunggyungwan University,1930,40,중도,,원삼국-백제 한성기,양평 양수리 상석정 A-9
126.981489E,37.819986N,경기,Charcoal,양주 광석리,6,Kukbang Cultural Property Research Center,1930,40,중도,,원삼국-백제 한성기,양주 광석리 6
127.018379E,38.109908N,경기,Charcoal,연천 강내리,66 ,Korea Institute of Heritage,1940,40,중도,,원삼국-백제 한성기,연천 강내리 66 
126.514342E,37.524243N,경기,Charcoal,인천 운북동,5-2 ,Hangang Cultural Property Research Institute,1940,50,마한,,원삼국-백제 한성기,인천 운북동 5-2 
127.364665E,37.795516N,경기,Charcoal,가평 항사리,나-13,Korea Institute of Heritage,1940,60 ,중도,,원삼국-백제 한성기,가평 항사리 나-13
127.011691E,38.086696N,경기,Charcoal,연천 삼거리,1,Baekdu Institute of Cultural Heritage,1940,29,중도,Yes,원삼국-백제 한성기,연천 삼거리 1
127.243675E,37.39228N,경기,Charcoal,광주 장지동,9 ,Gyounggi Cultural Property Research Institute,1950,20,중도,,원삼국-백제 한성기,광주 장지동 9 
126.903069E,37.129636N,경기,Charcoal,화성 발안리,12  ,Gijeon Cultural Property Research Institute,1950,50,마한,,원삼국-백제 한성기,화성 발안리 12  
127.902813E,37.129878N,경기,Charcoal,화성 발안리,12,Gijeon Cultural Property Research Institute,1950,50,중도,No,원삼국-백제 한성기,화성 발안리 12
127.701081E,37.885079N,강원,Charcoal,춘천 중도동,1,Gangwon Archaeological Culture Research Institute,1960,50,중도,,원삼국-백제 한성기,춘천 중도동 1
127.115987E,37.53396N,경기,Charcoal,서울 풍납토성,나-8,National Research Institute of Cultural Heritage,1960,50,중도,,원삼국-백제 한성기,서울 풍납토성 나-8
127.751408E,37.931132N,강원,"Charcoal, Charred seed",춘천 율문리∙천전리,Yulmun Ⅰ-1,Yemaek Cultural Property Research Institute,1963,17,중도,,원삼국-백제 한성기,춘천 율문리∙천전리 Yulmun Ⅰ-1
127.672158E,37.289407N,경기,Charcoal,여주 연양리,7 ,Korea Institute of Heritage,1965,36,중도,,원삼국-백제 한성기,여주 연양리 7 
127.378916E,37.680931N,경기,Charcoal,가평 대성리,6  ,Gyerye Cultural Heritage Research Institute,1970,20,중도,,원삼국-백제 한성기,가평 대성리 6  
127.320794E,37.54989N,경기,Charcoal,양평 양수리 상석정,A-17,Museum of Sunggyungwan University,1970,40,중도,,원삼국-백제 한성기,양평 양수리 상석정 A-17
127.194032E,37.72955N,경기,Charcoal,남양주 장현,29,Central Institute of Cultural Heritage,1970,50,마한,,원삼국-백제 한성기,남양주 장현 29
126.903069E,37.129636N,경기,Charcoal,화성 발안리,28 ,Gijeon Cultural Property Research Institute,1970,50,마한,,원삼국-백제 한성기,화성 발안리 28 
127.902813E,37.129878N,경기,Charcoal,화성 발안리,28,Gijeon Cultural Property Research Institute,1970,50,중도,No,원삼국-백제 한성기,화성 발안리 28
127.826223E,37.338016N,강원,Charcoal,원주 동화리,5,Hangang Cultural Property Research Institute,1970,36,중도,,원삼국-백제 한성기,원주 동화리 5
127.011691E,38.086696N,경기,Charcoal,연천 삼거리,2,Baekdu Institute of Cultural Heritage,1975,29,중도,Yes,원삼국-백제 한성기,연천 삼거리 2
128.375016E,37.329616N,강원,Charcoal,춘천 천동리∙마지리,Maji-2,Gangwon Archaeological Culture Research Institute,1980,60,중도,,원삼국-백제 한성기,춘천 천동리∙마지리 Maji-2
126.760831E,37.726843N,경기,Charcoal,파주 운정,Wadong Ⅲ-15-1,Gyounggi Cultural Property Research Institute,1980,60,마한,,원삼국-백제 한성기,파주 운정 Wadong Ⅲ-15-1
127.115987E,37.53396N,경기,Charcoal,서울 풍납토성,PungnapⅠ-가-3,National Research Institute of Cultural Heritage,1980,50,중도,,원삼국-백제 한성기,서울 풍납토성 PungnapⅠ-가-3
127.711551E,37.922077N,강원,Charcoal,춘천 신매리,7,Museum of Hanrim University,1984,27,중도,,원삼국-백제 한성기,춘천 신매리 7
127.320794E,37.54989N,경기,Charcoal,양평 양수리 상석정,A-13,Museum of Sunggyungwan University,1990,40,중도,,원삼국-백제 한성기,양평 양수리 상석정 A-13
127.320794E,37.54989N,경기,Charcoal,양평 양수리 상석정,A-7-3,Museum of Sunggyungwan University,1990,30,중도,,원삼국-백제 한성기,양평 양수리 상석정 A-7-3
128.168599E,37.148507N,충청,Charcoal,제천 왕암동,4-2,Jungwon Cultural Properties Institute,1990,40,중도,,원삼국-백제 한성기,제천 왕암동 4-2
127.249715E,37.968672N,경기,Charcoal,포천 금주리,2,Museum of Sejong University,2000,60,중도,,원삼국-백제 한성기,포천 금주리 2
127.249715E,37.968672N,경기,Charcoal,포천 금주리,3 ,Museum of Sejong University,2004,36,중도,,원삼국-백제 한성기,포천 금주리 3 
127.130485E,37.561785N,경기,Charcoal,서울 암사동,2,Museum of Kyung Hee,2010,60,중도,,원삼국-백제 한성기,서울 암사동 2
N/A,N/A,강원,N/A,화천 거례리 1지구 4구간 A·C-F구역 (한백),청-94,,2010,40,,,청동기,화천 거례리 1지구 4구간 A·C-F구역 (한백) 청-94
127.320794E,37.54989N,경기,Charcoal,양평 양수리 상석정,A-19,Museum of Sunggyungwan University,2020,40,중도,,원삼국-백제 한성기,양평 양수리 상석정 A-19
127.249715E,37.968672N,경기,Charcoal,포천 금주리,1,Museum of Sejong University,2020,60,중도,,원삼국-백제 한성기,포천 금주리 1
127.364665E,37.795516N,경기,Charcoal,가평 항사리,나-12,Korea Institute of Heritage,2020,50 ,중도,,원삼국-백제 한성기,가평 항사리 나-12
127.115987E,37.53396N,경기,Charcoal,서울 풍납토성,라-19  ,National Research Institute of Cultural Heritage,2028,19,중도,,원삼국-백제 한성기,서울 풍납토성 라-19  
127.115987E,37.53396N,경기,Charcoal,서울 풍납토성,PungnapⅠ-나-1,National Research Institute of Cultural Heritage,2030,60,중도,,원삼국-백제 한성기,서울 풍납토성 PungnapⅠ-나-1
126.514342E,37.524243N,경기,Charcoal,인천 운북동,5-1 ,Hangang Cultural Property Research Institute,2040,50,마한,,원삼국-백제 한성기,인천 운북동 5-1 
N/A,N/A,강원,N/A,춘천 천전리 (강원),A-39,,2070,60,,,청동기,춘천 천전리 (강원) A-39
127.115987E,37.53396N,경기,Charcoal,서울 풍납토성,PungnapⅠ-나-8,National Research Institute of Cultural Heritage,2080,60,중도,,원삼국-백제 한성기,서울 풍납토성 PungnapⅠ-나-8
126.903069E,37.129636N,경기,Charcoal,화성 발안리,19  ,Gijeon Cultural Property Research Institute,2080,50,마한,,원삼국-백제 한성기,화성 발안리 19  
127.902813E,37.129878N,경기,Charcoal,화성 발안리,19,Gijeon Cultural Property Research Institute,2080,50,중도,No,원삼국-백제 한성기,화성 발안리 19
N/A,N/A,강원,N/A,화천 거례리 1지구 4구간 A·C-F구역 (한백),청-64,,2080,40,,,청동기,화천 거례리 1지구 4구간 A·C-F구역 (한백) 청-64
127.997735E,37.812135N,강원,Charcoal,홍천 철정리,C-4 ,Gangwon Cultural Property Research Institute,2090,50,중도,,원삼국-백제 한성기,홍천 철정리 C-4 
N/A,N/A,경기,N/A,여주 흔암리,14,,2117,43,,,청동기,여주 흔암리 14
127.962071E,37.537727N,강원,Charcoal,횡성 학담리,1,Museum of Hanrim University,2150,50,중도,,원삼국-백제 한성기,횡성 학담리 1
127.115987E,37.53396N,경기,Charcoal,서울 풍납토성,PungnapⅠ-나-3,National Research Institute of Cultural Heritage,2150,50,중도,,원삼국-백제 한성기,서울 풍납토성 PungnapⅠ-나-3
N/A,N/A,강원,N/A,홍천 철정리Ⅱ,청-C-3,,2150,60,,,청동기,홍천 철정리Ⅱ 청-C-3
127.721289E,37.891914N,강원,Charcoal,춘천 근화동,26,Gangwon Archaeological Culture Research Institute,2162,41,중도,,원삼국-백제 한성기,춘천 근화동 26
N/A,N/A,경기,N/A,강화 장정리,A-4-2,,2170,30,,,청동기,강화 장정리 A-4-2
N/A,N/A,강원,N/A,춘천 현암리,청-22,,2170,40,,,청동기,춘천 현암리 청-22
N/A,N/A,강원,N/A,화천 거례리 1지구 4구간 A·C-F구역 (한백),청-10,,2180,40,,,청동기,화천 거례리 1지구 4구간 A·C-F구역 (한백) 청-10
127.115987E,37.53396N,경기,Charcoal,서울 풍납토성,PungnapⅠ-가-2,National Research Institute of Cultural Heritage,2190,50,중도,,원삼국-백제 한성기,서울 풍납토성 PungnapⅠ-가-2
N/A,N/A,강원,N/A,양구 고대리,청-9,,2190,40,,,청동기,양구 고대리 청-9
127.721289E,37.891914N,강원,Charcoal,춘천 근화동,18,Gangwon Archaeological Culture Research Institute,2190,36,중도,,원삼국-백제 한성기,춘천 근화동 18
N/A,N/A,강원,N/A,화천 거례리 1지구 4구간 A·C-F구역 (한백),청-59,,2200,40,,,청동기,화천 거례리 1지구 4구간 A·C-F구역 (한백) 청-59
N/A,N/A,경기,N/A,여주 흔암리,13,,2202,43,,,청동기,여주 흔암리 13
N/A,N/A,강원,N/A,양구 고대리,청-4,,2230,40,,,청동기,양구 고대리 청-4
N/A,N/A,강원,N/A,춘천 천전리 (강원),A_71,,2230,60,,,청동기,춘천 천전리 (강원) A_71
127.997735E,37.812135N,강원,Charcoal,홍천 철정리,A-7,Gangwon Cultural Property Research Institute,2240,60,중도,,원삼국-백제 한성기,홍천 철정리 A-7
N/A,N/A,강원,N/A,춘천 거두리(강원),9,,2240,70,,,청동기,춘천 거두리(강원) 9
N/A,N/A,강원,N/A,춘천 우두동 유적Ⅱ,청-12,,2250,40,,,청동기,춘천 우두동 유적Ⅱ 청-12
127.721289E,37.891914N,강원,Charcoal,춘천 근화동,11,Gangwon Archaeological Culture Research Institute,2260,36,중도,,원삼국-백제 한성기,춘천 근화동 11
N/A,N/A,강원,N/A,춘천 우두동 유적Ⅱ,청-2,,2270,40,,,청동기,춘천 우두동 유적Ⅱ 청-2
N/A,N/A,강원,N/A,춘천 북한강 수계 기존제방 보강공사 구간내(신매 1제),6,,2284,34,,,청동기,춘천 북한강 수계 기존제방 보강공사 구간내(신매 1제) 6
N/A,N/A,강원,N/A,화천 거례리 1지구 4구간 A·C-F구역 (한백),청-78,,2290,40,,,청동기,화천 거례리 1지구 4구간 A·C-F구역 (한백) 청-78
N/A,N/A,강원,N/A,양구 고대리,청-1,,2300,40,,,청동기,양구 고대리 청-1
N/A,N/A,경기,N/A,평택 소사동,가-4,,2300,50,,,청동기,평택 소사동 가-4
N/A,N/A,강원,N/A,화천 거례리 1지구 4구간 A·C-F구역 (한백),청-91,,2300,40,,,청동기,화천 거례리 1지구 4구간 A·C-F구역 (한백) 청-91
N/A,N/A,강원,N/A,화천 거례리 1지구 4구간 A·C-F구역 (한백),청-46,,2310,40,,,청동기,화천 거례리 1지구 4구간 A·C-F구역 (한백) 청-46
N/A,N/A,강원,N/A,화천 거례리 1지구 4구간 A·C-F구역 (한백),청-8,,2315,29,,,청동기,화천 거례리 1지구 4구간 A·C-F구역 (한백) 청-8
N/A,N/A,경기,N/A,남양주 지금동,청-2,,2320,30,,,청동기,남양주 지금동 청-2
N/A,N/A,강원,N/A,춘천 거두리(강원),11,,2320,40,,,청동기,춘천 거두리(강원) 11
N/A,N/A,강원,N/A,양구 고대리,청-14,,2330,50,,,청동기,양구 고대리 청-14
N/A,N/A,강원,N/A,춘천 현암리,청-15,,2330,40,,,청동기,춘천 현암리 청-15
N/A,N/A,경기,N/A,평택 수월암리,2-9,,2330,40,,,청동기,평택 수월암리 2-9
N/A,N/A,경기,N/A,평택 장당동,유물산포지25-8,,2330,60,,,청동기,평택 장당동 유물산포지25-8
N/A,N/A,강원,N/A,화천 거례리 1지구 4구간 A·C-F구역 (한백),청-34,,2330,29,,,청동기,화천 거례리 1지구 4구간 A·C-F구역 (한백) 청-34
N/A,N/A,강원,N/A,화천 거례리 1지구 3구간,청-70,,2335,29,,,청동기,화천 거례리 1지구 3구간 청-70
N/A,N/A,강원,N/A,춘천 우두동 유적Ⅱ,청-3,,2340,40,,,청동기,춘천 우두동 유적Ⅱ 청-3
N/A,N/A,강원,N/A,춘천 천전리(한·문277),1,,2340,40,,,청동기,춘천 천전리(한·문277) 1
N/A,N/A,강원,N/A,춘천 현암리,청-55,,2340,40,,,청동기,춘천 현암리 청-55
N/A,N/A,강원,N/A,화천 거례리 1지구 3구간,청-42,,2340,40,,,청동기,화천 거례리 1지구 3구간 청-42
N/A,N/A,강원,N/A,화천 거례리 1지구 5구간,청-7,,2340,29,,,청동기,화천 거례리 1지구 5구간 청-7
N/A,N/A,강원,N/A,화천 거례리 1지구 4구간 A·C-F구역 (한백),청-83,,2350,40,,,청동기,화천 거례리 1지구 4구간 A·C-F구역 (한백) 청-83
N/A,N/A,강원,N/A,춘천 천전리Ⅱ,본-청-9,,2357,23,,,청동기,춘천 천전리Ⅱ 본-청-9
128.434999E,37.177728N,강원,Charcoal,영월 방절리,청-주,Gangwon Research Institute of Archaeological and Cultural Properties,2360,21,,Yes,청동기,영월 방절리 청-주
N/A,N/A,강원,N/A,춘천 천전리Ⅱ,본-청-15,,2360,28,,,청동기,춘천 천전리Ⅱ 본-청-15
N/A,N/A,경기,N/A,평택 토진리,2,,2360,60,,,청동기,평택 토진리 2
N/A,N/A,경기,N/A,서울 고덕동,D-3,,2361,25,,,청동기,서울 고덕동 D-3
N/A,N/A,강원,N/A,춘천 신매리Ⅲ,청-19,,2363,24,,,청동기,춘천 신매리Ⅲ 청-19
N/A,N/A,경기,N/A,안양 관양동,2,,2370,90,,,청동기,안양 관양동 2
N/A,N/A,경기,N/A,인천 원당동Ⅱ,가-6,,2370,40,,,청동기,인천 원당동Ⅱ 가-6
N/A,N/A,강원,N/A,춘천 중도동,E-110,,2370,30,,,청동기,춘천 중도동 E-110
N/A,N/A,경기,N/A,평택 수월암리,2-10,,2370,40,,,청동기,평택 수월암리 2-10
N/A,N/A,강원,N/A,화천 거례리 1지구 4구간 A·C-F구역 (한백),청-45,,2375,29,,,청동기,화천 거례리 1지구 4구간 A·C-F구역 (한백) 청-45
N/A,N/A,경기,N/A,김포 양촌,1-H-5,,2380,40,,,청동기,김포 양촌 1-H-5
N/A,N/A,강원,N/A,양구 고대리,청-19,,2380,50,,,청동기,양구 고대리 청-19
N/A,N/A,경기,N/A,인천 중산동(중앙),3-32,,2380,50,,,청동기,인천 중산동(중앙) 3-32
N/A,N/A,강원,N/A,춘천 중도동(하중도F),청-2,,2380,50,,,청동기,춘천 중도동(하중도F) 청-2
N/A,N/A,강원,N/A,춘천 천전리(한·문277),2,,2380,40,,,청동기,춘천 천전리(한·문277) 2
N/A,N/A,강원,N/A,춘천 천전리 (강원),A-63,,2380,43,,,청동기,춘천 천전리 (강원) A-63
N/A,N/A,강원,N/A,춘천 현암리,청-18,,2380,40,,,청동기,춘천 현암리 청-18
N/A,N/A,강원,N/A,춘천 신매리 329-1번지,1,,2390,30,,,청동기,춘천 신매리 329-1번지 1
N/A,N/A,강원,N/A,춘천 중도동,H2-2,,2390,40,,,청동기,춘천 중도동 H2-2
N/A,N/A,강원,N/A,춘천 중도동,E-273,,2390,30,,,청동기,춘천 중도동 E-273
N/A,N/A,강원,N/A,춘천 현암리,청-43,,2390,50,,,청동기,춘천 현암리 청-43
N/A,N/A,강원,N/A,춘천 현암리,청-31,,2390,40,,,청동기,춘천 현암리 청-31
N/A,N/A,강원,N/A,평창 후평리 유적,1-1,,2390,40,,,청동기,평창 후평리 유적 1-1
N/A,N/A,강원,N/A,화천 거례리 1지구 4구간 A·C-F구역 (한백),청-37,,2390,40,,,청동기,화천 거례리 1지구 4구간 A·C-F구역 (한백) 청-37
N/A,N/A,강원,N/A,화천 거례리 1지구 3구간,청-30,,2393,34,,,청동기,화천 거례리 1지구 3구간 청-30
N/A,N/A,강원,N/A,춘천 중도동(D-E지구),주-36,,2395,36,,,청동기,춘천 중도동(D-E지구) 주-36
N/A,N/A,강원,N/A,화천 용암리 (강원),80,,2396,36,,,청동기,화천 용암리 (강원) 80
N/A,N/A,강원,N/A,화천 거례리 1지구 5구간,청-42,,2398,32,,,청동기,화천 거례리 1지구 5구간 청-42
127.536111E,37.423056N,경기,Charcoal,양평 하자포리,청-주-1,Korea Cultural Heritage Foundation,2399,27,,No,청동기,양평 하자포리 청-주-1